logFC	AveExpr	t	P.Value	adj.P.Val	B	negLogP
ENSG00000186517.14	-1.16740065111773	7.77984401437008	-8.49441856965793	4.12940706070289e-15	6.78709344497127e-11	23.8076919834989	14.3841123039736
ENSG00000117748.10	2.00985723393282	3.82776851968534	8.34689146513885	1.05133752351593e-14	8.63989176825393e-11	22.8377104256049	13.9782578348109
ENSG00000002834.18	-1.33659034290212	6.68706347512115	-8.26282888998126	1.78453979135545e-14	9.77689867023937e-11	22.3840687679643	13.7484737637781
ENSG00000197008.10	1.98084331254037	3.06907460280218	8.09716892763859	5.0247582475039e-14	1.91388680164769e-10	21.2878603697441	13.2988848282957
ENSG00000196911.11	1.82134979038107	2.32707473508134	8.07346364436584	5.82224020944176e-14	1.91388680164769e-10	21.0871464817451	13.2349098807449
ENSG00000147443.13	-1.18361992682032	7.42485352424453	-7.95842042879876	1.1864659020259e-13	2.78582193795681e-10	20.5444010216044	12.9257447385042
ENSG00000104412.8	1.79840830534858	1.68444987655726	7.98224218444092	1.02427586148069e-13	2.78582193795681e-10	20.5056355443237	12.9895830619303
ENSG00000175567.11	-1.06163899802999	9.05094866509199	-7.91755224690508	1.52599702801021e-13	3.13516089404698e-10	20.2944945071107	12.8164463122003
ENSG00000196268.12	1.59035270899357	3.66844290726214	7.86848189062494	2.06260068603107e-13	3.23185216133093e-10	19.9745280198978	12.6855848421378
ENSG00000155629.15	-1.25082638964948	6.21499176673735	-7.84779201531529	2.34135990346907e-13	3.23185216133093e-10	19.8872142990238	12.6305318233487
ENSG00000267277.1	2.09472348532358	3.60292466332834	7.84937165750353	2.31882270495118e-13	3.23185216133093e-10	19.8543605204	12.6347324558488
ENSG00000184635.16	1.83359332914593	3.42547812794665	7.84120355391317	2.43771984778033e-13	3.23185216133093e-10	19.8006590812817	12.6130162066562
ENSG00000114107.9	1.63909268557725	1.85774562287846	7.83344570072688	2.55622280952191e-13	3.23185216133093e-10	19.6475753918607	12.5924012942036
ENSG00000173041.12	1.83192577203733	3.54970396578754	7.8080147894655	2.9860934789054e-13	3.50567374423494e-10	19.6119855875988	12.5248966009186
ENSG00000196705.8	1.51898846643542	3.36076300452776	7.78635577745205	3.40806237860819e-13	3.73432755032028e-10	19.4777509032591	12.4674924648333
ENSG00000180376.17	1.45640689725093	3.6687725937349	7.70389562775996	5.62737534241082e-13	5.60206865419235e-10	19.0117742936173	12.24969411671
ENSG00000162664.17	1.76689457227122	2.23583079954621	7.69907503620771	5.79430318333353e-13	5.60206865419235e-10	18.896848238584	12.2369987843473
ENSG00000104904.12	-1.08591701099679	9.90849065560263	-7.67253292569655	6.80499090413054e-13	6.21371280557164e-10	18.8367367783359	12.1671724509586
ENSG00000104774.13	-0.860828868857937	7.40368516285487	-7.6545315098923	7.58776197159825e-13	6.56381346132573e-10	18.7431843341632	12.1198863014053
ENSG00000198771.11	-0.946514634200632	6.14936352997126	-7.52114697459839	1.69302457951329e-12	1.39132759944402e-09	17.9712351754809	11.7713367367112
ENSG00000159461.15	-1.0105351209432	6.07220029358542	-7.47436560127996	2.23942033734369e-12	1.70384006186025e-09	17.7008967507799	11.6498643820549
ENSG00000116685.16	-0.908647891269437	6.002955184716	-7.47131009949432	2.28063284016339e-12	1.70384006186025e-09	17.6834980768995	11.6419446263085
ENSG00000205323.9	1.72027900566599	2.1571191683793	7.33390121434635	5.15699669549782e-12	3.68523468205227e-09	16.8174576961768	11.2876031468806
ENSG00000163902.12	-0.886780510400677	6.7132303008132	-7.32243654927273	5.51821665703916e-12	3.77905870729565e-09	16.8239449465621	11.2582012521879
ENSG00000155465.20	-1.4584102141205	6.15226067413209	-7.28252327956117	6.98169985413705e-12	4.59004875210386e-09	16.6009354349238	11.1560388256012
ENSG00000160883.11	-1.25092707377659	7.7438083660473	-7.27420177809223	7.33199397057076e-12	4.63494818847311e-09	16.5414990032585	11.1347779008496
ENSG00000134480.16	1.34438939649066	3.87766432396901	7.22241924557183	9.93618633761768e-12	5.8417426649625e-09	16.2616682836083	11.0027802725781
ENSG00000160570.14	-1.25298380605237	6.96164422742104	-7.22215014215806	9.95186143945911e-12	5.8417426649625e-09	16.251478740963	11.002095679327
